timestamp,severity,correction_type,description,source_file,asset,before_value,after_value,details
2026-05-27T23:35:00.099085,warning,missing_impute_mean,Imputed 17 missing values for 'STOCK_D' with mean=-0.002207,merged,STOCK_D,,-0.0022066799728118628,"{'imputed_count': 17, 'imputation_value': -0.0022066799728118628, 'strategy': 'mean'}"
2026-05-27T23:35:00.103797,warning,missing_impute_mean,Imputed 15 missing values for 'STOCK_E' with mean=-0.001970,merged,STOCK_E,,-0.001969854147327794,"{'imputed_count': 15, 'imputation_value': -0.001969854147327794, 'strategy': 'mean'}"
2026-05-27T23:35:00.104575,warning,missing_impute_mean,Imputed 9 missing values for 'STOCK_F' with mean=-0.001251,merged,STOCK_F,,-0.0012513832272823895,"{'imputed_count': 9, 'imputation_value': -0.0012513832272823895, 'strategy': 'mean'}"
2026-05-27T23:34:59.930643,info,order_reorder,Loaded reference order with 6 assets from examples/input/asset_order.txt,examples/input/asset_order.txt,,,,"{'n_assets': 6, 'order_file': 'examples/input/asset_order.txt'}"
2026-05-27T23:34:59.931544,info,order_reorder,Merged returns_source1.csv with 6 assets,returns_source1.csv,,,,{'n_assets': 6}
2026-05-27T23:34:59.946503,info,order_reorder,Merged returns_source2.csv with 7 assets,returns_source2.csv,,,,{'n_assets': 7}
2026-05-27T23:34:59.946589,info,order_reorder,Ordered 6 assets according to reference,merged,,,,"{'final_order': ['STOCK_A', 'STOCK_B', 'STOCK_C', 'STOCK_D', 'STOCK_E', 'STOCK_F']}"
2026-05-27T23:34:59.964772,info,missing_impute_mean,Overall missing ratio: 6.22% (94/1512 cells),merged,,,,"{'total_missing': 94, 'total_cells': 1512, 'overall_ratio': 0.062169312169312166}"
2026-05-27T23:34:59.964949,info,missing_impute_mean,Asset 'STOCK_A' has 5.16% missing values (13 rows),merged,STOCK_A,,,"{'missing_count': 13, 'missing_ratio': 0.051587301587301584, 'total_rows': 252}"
2026-05-27T23:34:59.966121,info,missing_impute_mean,Asset 'STOCK_B' has 4.76% missing values (12 rows),merged,STOCK_B,,,"{'missing_count': 12, 'missing_ratio': 0.047619047619047616, 'total_rows': 252}"
2026-05-27T23:34:59.966285,info,missing_impute_mean,Asset 'STOCK_C' has 5.95% missing values (15 rows),merged,STOCK_C,,,"{'missing_count': 15, 'missing_ratio': 0.05952380952380952, 'total_rows': 252}"
2026-05-27T23:34:59.966321,info,missing_impute_mean,Asset 'STOCK_D' has 7.94% missing values (20 rows),merged,STOCK_D,,,"{'missing_count': 20, 'missing_ratio': 0.07936507936507936, 'total_rows': 252}"
2026-05-27T23:34:59.966350,info,missing_impute_mean,Asset 'STOCK_E' has 8.33% missing values (21 rows),merged,STOCK_E,,,"{'missing_count': 21, 'missing_ratio': 0.08333333333333333, 'total_rows': 252}"
2026-05-27T23:34:59.966546,info,missing_impute_mean,Asset 'STOCK_F' has 5.16% missing values (13 rows),merged,STOCK_F,,,"{'missing_count': 13, 'missing_ratio': 0.051587301587301584, 'total_rows': 252}"
2026-05-27T23:35:00.106095,info,posdef_eigen_clip,Estimated 6x6 covariance matrix using pearson method from 241 observations,merged,,,,"{'n_assets': 6, 'n_obs': 241, 'method': 'pearson'}"
2026-05-27T23:35:00.122374,info,posdef_eigen_clip,Matrix is positive definite: min eigenvalue=6.66e-05,merged,,,,{'min_eigenvalue': 6.662170650363696e-05}
2026-05-27T23:35:00.122442,info,order_reorder,Asset order already matches reference,merged,,,,{}
2026-05-27T23:34:59.974099,critical,missing_drop_row,Row 2023-01-05 00:00:00 has 33.33% missing values,merged,,,,"{'row_index': '2023-01-05 00:00:00', 'missing_count': 2, 'missing_ratio': 0.3333333333333333, 'total_columns': 6}"
2026-05-27T23:34:59.975345,critical,missing_drop_row,Row 2023-01-17 00:00:00 has 33.33% missing values,merged,,,,"{'row_index': '2023-01-17 00:00:00', 'missing_count': 2, 'missing_ratio': 0.3333333333333333, 'total_columns': 6}"
